Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments
_roomTitle_Start,1,"Room title used on map and room list. Short label shown on room tiles. Max 20 characters. No trailing punctuation. Tone: neutral and concise.","시작의 방","맵과 방 목록에 표시되는 짧은 제목입니다. 모바일에서도 한 줄로 보이도록 20자 이내로 작성하세요.","Start Room","Short label shown on map/room list. Keep under 20 characters. No trailing punctuation."
_roomDescription_Start,11,"Room description shown in room details panel or tooltip. Explains purpose or tips for the room. Use imperative mood for directives. Max ~120 characters. No formatting tags unless documented.","전투에 대비하여 충분히 준비하세요!","방 상세 정보에 표시됩니다. 전투 준비를 안내하는 문장으로, 모바일에서 줄바꿈될 수 있으니 120자 이내로 작성하세요.","Prepare adequately for battle!","Shown in room details; give a brief directive or tip. Keep within ~120 chars. Use imperative tone."
_roomTitle_Normal,2,"Room title used on map and list. Keep concise. Max 20 characters.","일반 방","맵/목록에 보이는 짧은 제목입니다. 20자 이내로 유지하세요.","Normal Room","Short label for a normal encounter room. Keep under 20 characters."
_roomDescription_Normal,12,"Description for a normal combat room. Explain objective succinctly (e.g., defeat enemies). Max ~120 characters. Prefer imperative phrasing.","적들을 물리치고 보상을 획득하세요!","목표(예: 적 처치)를 간단히 설명하세요. 모바일에서 보이는 길이를 고려해 120자 이내로.","Defeat the enemies and claim your reward!","Used in room info; short objective statement. Keep concise and imperative."
_roomTitle_Lab,3,"Room title for laboratory-type rooms. Short label; max 20 characters. Indicate special mechanics if needed.","실험실","실험/기계 관련 방을 나타내는 짧은 제목입니다. 20자 이내 권장.","Lab","Short label for laboratory rooms. Keep under 20 characters."
_roomDescription_Lab,13,"Description for laboratory rooms. Mention hazards/special mechanics. Provide usage hints if necessary. Max ~120 characters.","실험실: 실험 장비와 함정이 존재합니다. 주의해서 진행하세요!","특수 효과나 함정 등 주의사항을 포함하세요. 모바일 표시 길이(약 120자) 고려.","Lab: contains experimental equipment and hazards. Proceed with caution!","Shown in room details; mention hazards/special mechanics. Keep concise."
_roomTitle_Colosseum,4,"Room title for arena/colosseum. Short label; max 20 characters. Indicates combat challenge.","투기장","연속 전투/대전 형식의 방을 나타냅니다. 짧게 표기(20자 이내).","Colosseum","Short label for arena/colosseum. Keep under 20 characters."
_roomDescription_Colosseum,14,"Description for colosseum/arena rooms. Explain challenge type (e.g., consecutive fights) and rewards. Max ~120 characters.","투기장: 연속 전투에 도전하여 더 높은 보상을 획득하세요!","연속 전투 형식과 보상 관련 설명을 간결하게 적으세요. 모바일 표시 길이 유의.","Colosseum: challenge consecutive fights to earn greater rewards!","Used in room details; describe challenge/reward briefly."
_roomTitle_Shop,5,"Room title for shop. Single-word label preferred. Max 12-15 characters for UI fit.","상점","UI 버튼/목록에 표시되는 제목입니다. 가능하면 한 단어로, 길이 제한(모바일) 고려.","Shop","Single-word label for shop; prefer short form for UI placement."
_roomDescription_Shop,15,"Description for shop rooms. Explain what players can buy or exchange (credits, items). Max ~120 characters. Do not include currency symbol assumptions unless specified.","크레딧을 사용하여 보상을 구매하세요!","구매 방식(예: 크레딧 사용)을 명확히 적으세요. 모바일 레이아웃을 고려해 120자 이내로.","Use credits to purchase rewards!","Shown in room details; briefly explain purchase/exchange mechanics. Keep concise."
