Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments
"greeting",5102046474240,"","안녕하세요","","hi",""
"Korean",1004190494720,"","한국어","","Korean",""
"English",5098380652544,"","영어","","English",""
"Korea",1709011272089600,"","해상도","","Resolution",""
"High",1712273425580032,"","상","","High",""
"Middle",1712401062445056,"","중","","Middle",""
"Low",1712521187311616,"","하","","Low",""
"Volume",1720973779419136,"","볼륨","","Volume",""
"Local",1721063394918400,"","언어","","Local",""
"Close",2003296437551104,"","닫기","","Close",""
"List",2007423083233280,"","보유 스킬","","Skill List",""
"Exit",2009433287311360,"","게임종료","","Exit",""
"Re",2009535506694144,"","회차 초기화","","Re",""
"Default",2016820278738944,"","기본","","Default",""
"Option",2029375244091392,"","옵션","","Option",""
"Game Start",2056017189388288,"","게임 시작","","Game Start",""
"Setting",2059143833305088,"","설정","","Setting",""
"Game Close",2059728871604224,"","게임 종료","","Game Close",""
"totalMultiDamage",2065516961873920,"","모든 데미지 증가","","TotalDamage",""
"playerHP",2066555266023424,"","전체 체력","","Max Hp",""
"playerRevive",2066807251419136,"","부활","","Revive",""
"playerRestore",2067063548559360,"","체력 회복","","Heal",""
"GameOver",2105167574581248,"","복수는 계속된다...","","Vengeance continues...",""
"BackTitle",2106575975727104,"","처음으로","","Back To Title",""
"ClearTime",2111396187324416,"","클리어 타임 : ","","Clear Time : ",""
"Win",2418162628411392,"",,,,
"GameWin",2418984707801088,"","게임 승리","","Game Win",""
"UpgradeFail",2383108192747520,"","이미 최대레벨입니다.","","Max Level Already",""
"UpgradeSuccess",2056654727790592,"","업그레이드 성공","","Upgrade Success",""
"Record",2562230024073216,"","기록판","","TimeRecord",""
"NormalRoomTitle",3170320574509056,"","일반 방","","Normal Room",""
"ShopTitle",3170449163481088,"","상점","","Shop",""
"ColosseumTitle",3170478817210368,"","콜로세움","","Colosseum",""
"LabTitle",3170500279463936,"","연구실","","Lab",""
"BossTitle",3170510257713152,"","보스방","","Boss Room",""
"normal",3170520919633920,"","일반방 설명","","normal room script",""
"shop",30815336198144,"","상점 설명","","shop script",""
"colosseum",3170531048878080,"","콜로세움 설명","","colosseum script",""
"lab",30535550955520,"","연구실 설명","","lab script",""
"boss",3170542197338112,"","보스방 설명","","boss room script",""
"Company1Title",3181534159499264,"","Company 1 기술팩","","Company1Title",""
"Company1Script",3181534629261312,"","E : Company 1 기술팩 획득","","Company1Script",""
"Company2Title",3181535933689856,"","Company 2 기술팩","","Company2Title",""
"Company2Script",3181536462172160,"","E : Company 2 기술팩 획득","","Company2Script",""
"Company3Title",3181537644965888,"","Company 3 기술팩","","Company3Title",""
"Company3Script",3181538160865280,"","E : Company 3 기술팩 획득","","Company3Script",""
"Company4Title",3181539729534976,"","Company 4 기술팩","","Company4Title",""
"Company4Script",3181545324736512,"","E : Company 4 기술팩 획득","","Company4Script",""
"Company5Title",3181553671401472,"","Company 5 기술팩","","Company5Title",""
"Company5Script",3181558197055488,"","E : Company 5 기술팩 획득","","Company5Script",""
"TechUpgradeTitle",3181585699106816,"","기술 업그레이드 팩","","TechUpgradeTitle",""
"TechUpgradeScript",3182519586058240,"","E : 기술 업그레이드","","TechUpgradeScript",""
"MutantTitle",3183248426070016,"","돌연변이 팩","","MutantTitle",""
"MutantScript",3183254973378560,"","E : 돌연변이 획","","MutantScript",""
"ChromeTitle",3183368999727104,"","크롬","","ChromeTitle",""
"ChromeScript",3183370966855680,"","E : 크롬10 획득","","ChromeScript",""
"HealPackTitle",3183372908818432,"","체력회복의 구슬","","HealPackTitle",""
"HealPackScript",3183374460710912,"","E : 체력 50 회복","","HealPackScript",""
"CreditTitle",3184370414972928,"","크레딧","","CreditTitle",""
"CreditScript",3184372499542016,"","E : 크레딧 10 획득","","CreditScript",""
"HealPackShop",3184917931028480,"","50크레딧","","50 Credit",""
"MutantShop",3184921466826752,"","200크레딧","","200 Credit",""
"CompanyShops",3184928068661248,"","100크레딧","","100 Credit",""
"UpgradeShop",3184930459414528,"","100크레딧","","100 Credit",""
"record",3186323622653952,"","기록판","","Time Record",""
"OpenRecord",3186325493313536,"","E : 기록판 열기","","E : Open Time Record",""
"ReinforceTitle",3191114075664384,"","플레이어의 장비 보관함","","ReinforceTitle",""
"ReinforceScript",3191116344782848,"","E를 눌러 강화하기","","ReinforceScript",""
